 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 20, 2018 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuterium in Tantalum.txt

 Ion = Hydrogen [1] , Mass = 2.0141 amu

 Target Density =  1.6601E+01 g/cm3 = 5.5248E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Ta     73    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  keV / micron   
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.948E+01  3.332E+00      60 A       135 A        98 A   
   1.10 keV   2.043E+01  3.377E+00      65 A       143 A       104 A   
   1.20 keV   2.134E+01  3.415E+00      69 A       151 A       110 A   
   1.30 keV   2.221E+01  3.447E+00      74 A       159 A       115 A   
   1.40 keV   2.305E+01  3.474E+00      79 A       167 A       121 A   
   1.50 keV   2.386E+01  3.497E+00      84 A       174 A       126 A   
   1.60 keV   2.464E+01  3.517E+00      88 A       182 A       132 A   
   1.70 keV   2.540E+01  3.534E+00      93 A       189 A       137 A   
   1.80 keV   2.614E+01  3.548E+00      98 A       196 A       142 A   
   2.00 keV   2.755E+01  3.570E+00     107 A       209 A       153 A   
   2.25 keV   2.922E+01  3.587E+00     119 A       226 A       165 A   
   2.50 keV   3.080E+01  3.596E+00     131 A       242 A       177 A   
   2.75 keV   3.230E+01  3.598E+00     142 A       257 A       189 A   
   3.00 keV   3.374E+01  3.596E+00     154 A       273 A       200 A   
   3.25 keV   3.512E+01  3.589E+00     166 A       287 A       211 A   
   3.50 keV   3.644E+01  3.580E+00     178 A       302 A       222 A   
   3.75 keV   3.772E+01  3.568E+00     190 A       316 A       232 A   
   4.00 keV   3.896E+01  3.554E+00     201 A       329 A       243 A   
   4.50 keV   4.099E+01  3.521E+00     225 A       356 A       263 A   
   5.00 keV   4.288E+01  3.485E+00     250 A       382 A       283 A   
