# $\chi$	F1	F2	F3	F4+
3.1416e-03	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
4.1480e-03	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
5.4768e-03	9.9667e-01	3.3333e-03	0.0000e+00	0.0000e+00
7.2313e-03	9.9083e-01	9.1667e-03	0.0000e+00	0.0000e+00
9.5479e-03	9.9485e-01	5.1515e-03	0.0000e+00	0.0000e+00
1.2607e-02	9.9018e-01	9.8242e-03	0.0000e+00	0.0000e+00
1.6645e-02	9.8393e-01	1.5512e-02	5.5556e-04	0.0000e+00
2.1977e-02	9.7217e-01	2.6976e-02	8.5145e-04	0.0000e+00
2.9018e-02	9.6864e-01	3.1034e-02	3.2258e-04	0.0000e+00
3.8314e-02	9.6246e-01	3.7317e-02	2.2727e-04	0.0000e+00
5.0588e-02	9.5231e-01	4.6679e-02	1.0145e-03	0.0000e+00
6.6794e-02	9.3675e-01	6.1662e-02	1.5847e-03	0.0000e+00
8.8191e-02	9.2269e-01	7.2422e-02	4.7837e-03	1.0204e-04
1.1644e-01	8.9794e-01	9.5394e-02	6.3639e-03	3.0534e-04
1.5375e-01	8.5861e-01	1.3012e-01	1.0931e-02	3.3746e-04
2.0300e-01	8.1453e-01	1.6594e-01	1.8197e-02	1.3337e-03
2.6803e-01	7.5919e-01	2.1068e-01	2.7624e-02	2.5067e-03
3.5389e-01	7.0390e-01	2.4918e-01	4.1712e-02	5.2162e-03
4.6727e-01	6.2840e-01	2.9459e-01	6.5878e-02	1.1125e-02
6.1695e-01	5.4206e-01	3.3257e-01	1.0205e-01	2.3326e-02
8.1460e-01	4.4210e-01	3.6111e-01	1.4826e-01	4.8534e-02
1.0756e+00	3.4112e-01	3.6501e-01	1.9571e-01	9.8155e-02
1.4201e+00	2.4300e-01	3.3971e-01	2.4472e-01	1.7257e-01
1.8750e+00	1.5323e-01	2.8807e-01	2.6856e-01	2.9014e-01
2.4757e+00	8.4594e-02	2.1027e-01	2.5629e-01	4.4885e-01
3.2688e+00	3.8021e-02	1.2413e-01	2.0387e-01	6.3398e-01
4.3160e+00	1.3627e-02	5.6881e-02	1.2557e-01	8.0392e-01
5.6986e+00	3.3440e-03	1.9124e-02	5.4482e-02	9.2305e-01
7.5242e+00	4.9536e-04	4.0288e-03	1.5222e-02	9.8025e-01
9.9346e+00	5.3540e-05	4.6882e-04	2.4062e-03	9.9707e-01
