# Track Density for 10 um OD (tracks/cm^2)	$\chi$	F1	F2	F3	F4+
1.0000e+03	3.1416e-03	1.0000e+00	0.0000e+00	0.0000e+00	0.0000e+00
1.0476e+03	3.2912e-03	9.9667e-01	3.3333e-03	0.0000e+00	0.0000e+00
1.0975e+03	3.4479e-03	9.9900e-01	1.0000e-03	0.0000e+00	0.0000e+00
1.1498e+03	3.6121e-03	9.9800e-01	2.0000e-03	0.0000e+00	0.0000e+00
1.2045e+03	3.7841e-03	9.9900e-01	1.0000e-03	0.0000e+00	0.0000e+00
1.2619e+03	3.9642e-03	9.9773e-01	2.2667e-03	0.0000e+00	0.0000e+00
1.3219e+03	4.1530e-03	9.9347e-01	6.5333e-03	0.0000e+00	0.0000e+00
1.3849e+03	4.3507e-03	9.9640e-01	3.6000e-03	0.0000e+00	0.0000e+00
1.4508e+03	4.5579e-03	9.9720e-01	2.8000e-03	0.0000e+00	0.0000e+00
1.5199e+03	4.7749e-03	9.9760e-01	2.4000e-03	0.0000e+00	0.0000e+00
1.5923e+03	5.0023e-03	9.9327e-01	6.7333e-03	0.0000e+00	0.0000e+00
1.6681e+03	5.2405e-03	9.9547e-01	4.5333e-03	0.0000e+00	0.0000e+00
1.7475e+03	5.4900e-03	9.9240e-01	7.6000e-03	0.0000e+00	0.0000e+00
1.8307e+03	5.7514e-03	9.9581e-01	4.1905e-03	0.0000e+00	0.0000e+00
1.9179e+03	6.0253e-03	9.9743e-01	2.5714e-03	0.0000e+00	0.0000e+00
2.0092e+03	6.3122e-03	9.9476e-01	5.2381e-03	0.0000e+00	0.0000e+00
2.1049e+03	6.6128e-03	9.9519e-01	4.8095e-03	0.0000e+00	0.0000e+00
2.2051e+03	6.9276e-03	9.9384e-01	6.1571e-03	0.0000e+00	0.0000e+00
2.3101e+03	7.2575e-03	9.9526e-01	4.7381e-03	0.0000e+00	0.0000e+00
2.4201e+03	7.6031e-03	9.9148e-01	8.5159e-03	0.0000e+00	0.0000e+00
2.5354e+03	7.9651e-03	9.9289e-01	7.1111e-03	0.0000e+00	0.0000e+00
2.6561e+03	8.3443e-03	9.9067e-01	9.3333e-03	0.0000e+00	0.0000e+00
2.7826e+03	8.7417e-03	9.9558e-01	4.4187e-03	0.0000e+00	0.0000e+00
2.9151e+03	9.1579e-03	9.8955e-01	1.0451e-02	0.0000e+00	0.0000e+00
3.0539e+03	9.5940e-03	9.9356e-01	6.2566e-03	1.8182e-04	0.0000e+00
3.1993e+03	1.0051e-02	9.8996e-01	1.0038e-02	0.0000e+00	0.0000e+00
3.3516e+03	1.0529e-02	9.9287e-01	7.1338e-03	0.0000e+00	0.0000e+00
3.5112e+03	1.1031e-02	9.9138e-01	8.6168e-03	0.0000e+00	0.0000e+00
3.6784e+03	1.1556e-02	9.9037e-01	9.4831e-03	1.4286e-04	0.0000e+00
3.8535e+03	1.2106e-02	9.9023e-01	9.7732e-03	0.0000e+00	0.0000e+00
4.0370e+03	1.2683e-02	9.9154e-01	8.4634e-03	0.0000e+00	0.0000e+00
4.2292e+03	1.3287e-02	9.9126e-01	8.7440e-03	0.0000e+00	0.0000e+00
4.4306e+03	1.3919e-02	9.8799e-01	1.2011e-02	0.0000e+00	0.0000e+00
4.6416e+03	1.4582e-02	9.8794e-01	1.1726e-02	3.3333e-04	0.0000e+00
4.8626e+03	1.5276e-02	9.8938e-01	1.0621e-02	0.0000e+00	0.0000e+00
5.0941e+03	1.6004e-02	9.8479e-01	1.5100e-02	1.1111e-04	0.0000e+00
5.3367e+03	1.6766e-02	9.8269e-01	1.6893e-02	4.1579e-04	0.0000e+00
5.5908e+03	1.7564e-02	9.8714e-01	1.2455e-02	4.0526e-04	0.0000e+00
5.8570e+03	1.8400e-02	9.8525e-01	1.4655e-02	9.0909e-05	0.0000e+00
6.1359e+03	1.9277e-02	9.8255e-01	1.7454e-02	0.0000e+00	0.0000e+00
6.4281e+03	2.0194e-02	9.8263e-01	1.7116e-02	2.5000e-04	0.0000e+00
6.7342e+03	2.1156e-02	9.7785e-01	2.1646e-02	5.0808e-04	0.0000e+00
7.0548e+03	2.2163e-02	9.7459e-01	2.4859e-02	5.5433e-04	0.0000e+00
7.3907e+03	2.3219e-02	9.7702e-01	2.2761e-02	2.2222e-04	0.0000e+00
7.7426e+03	2.4324e-02	9.7360e-01	2.6187e-02	2.1429e-04	0.0000e+00
8.1113e+03	2.5482e-02	9.7693e-01	2.3072e-02	0.0000e+00	0.0000e+00
8.4975e+03	2.6696e-02	9.7528e-01	2.4650e-02	6.8966e-05	0.0000e+00
8.9022e+03	2.7967e-02	9.7318e-01	2.6690e-02	1.3147e-04	0.0000e+00
9.3260e+03	2.9299e-02	9.7202e-01	2.7577e-02	4.0449e-04	0.0000e+00
9.7701e+03	3.0694e-02	9.6994e-01	2.9661e-02	3.9420e-04	0.0000e+00
1.0235e+04	3.2155e-02	9.7074e-01	2.9039e-02	2.2239e-04	0.0000e+00
1.0723e+04	3.3686e-02	9.7213e-01	2.7712e-02	1.5385e-04	0.0000e+00
1.1233e+04	3.5290e-02	9.6807e-01	3.1625e-02	3.0147e-04	0.0000e+00
1.1768e+04	3.6971e-02	9.6518e-01	3.4260e-02	5.6285e-04	0.0000e+00
1.2328e+04	3.8731e-02	9.6156e-01	3.7971e-02	4.7291e-04	0.0000e+00
1.2915e+04	4.0575e-02	9.5959e-01	3.9202e-02	1.2033e-03	0.0000e+00
1.3530e+04	4.2507e-02	9.6160e-01	3.7576e-02	8.2318e-04	0.0000e+00
1.4175e+04	4.4531e-02	9.5451e-01	4.4822e-02	6.6677e-04	0.0000e+00
1.4850e+04	4.6652e-02	9.5539e-01	4.3506e-02	1.1068e-03	0.0000e+00
1.5557e+04	4.8873e-02	9.5576e-01	4.3355e-02	8.8469e-04	0.0000e+00
1.6298e+04	5.1200e-02	9.5028e-01	4.8439e-02	1.2825e-03	0.0000e+00
1.7074e+04	5.3638e-02	9.4785e-01	5.1523e-02	6.2797e-04	0.0000e+00
1.7886e+04	5.6192e-02	9.4598e-01	5.2774e-02	1.1785e-03	6.4103e-05
1.8738e+04	5.8868e-02	9.4583e-01	5.2808e-02	1.3661e-03	0.0000e+00
1.9630e+04	6.1671e-02	9.4253e-01	5.5819e-02	1.6175e-03	2.9412e-05
2.0565e+04	6.4607e-02	9.3726e-01	6.0759e-02	1.9837e-03	0.0000e+00
2.1544e+04	6.7684e-02	9.3689e-01	6.0491e-02	2.4567e-03	1.6514e-04
2.2570e+04	7.0906e-02	9.3315e-01	6.4366e-02	2.4550e-03	2.4691e-05
2.3645e+04	7.4283e-02	9.2911e-01	6.7893e-02	2.8537e-03	1.3960e-04
2.4771e+04	7.7820e-02	9.2758e-01	6.9585e-02	2.8353e-03	0.0000e+00
2.5950e+04	8.1525e-02	9.2491e-01	7.1991e-02	3.0791e-03	2.1277e-05
2.7186e+04	8.5407e-02	9.2197e-01	7.5172e-02	2.7736e-03	8.2474e-05
2.8480e+04	8.9474e-02	9.1756e-01	7.9033e-02	3.2648e-03	1.3714e-04
2.9836e+04	9.3734e-02	9.1198e-01	8.4221e-02	3.7457e-03	5.4882e-05
3.1257e+04	9.8197e-02	9.0745e-01	8.7698e-02	4.7304e-03	1.2447e-04
3.2745e+04	1.0287e-01	9.0310e-01	9.2487e-02	4.2538e-03	1.5683e-04
3.4305e+04	1.0777e-01	8.9967e-01	9.4813e-02	5.2724e-03	2.4227e-04
3.5938e+04	1.1290e-01	8.9321e-01	1.0075e-01	5.8732e-03	1.6854e-04
3.7649e+04	1.1828e-01	8.8883e-01	1.0418e-01	6.8425e-03	1.4638e-04
3.9442e+04	1.2391e-01	8.8438e-01	1.0835e-01	6.9708e-03	3.0783e-04
4.1320e+04	1.2981e-01	8.8036e-01	1.1305e-01	6.2345e-03	3.5428e-04
4.3288e+04	1.3599e-01	8.7420e-01	1.1711e-01	8.3189e-03	3.7520e-04
